nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.1345548,0.5547856,0.2267014,0.5993478,0.24885222,0.4048124,0.35461932,0.63819283,0.3858124,0.37015605,0.3653832,0.67708266,0.45885086,0.43877193,0.48831746,0.5716259,0.5008151,0.46375725,0.65328664,0.6272598,0.693297,0.4335221,0.8091931,0.61433256,0.8801989,0.3881838,neutral
0.1218244,0.53647417,0.22153267,0.5900447,0.23827896,0.38379577,0.36268517,0.6216986,0.37759373,0.35503873,0.36136281,0.66015285,0.46111155,0.41541815,0.48660177,0.55689716,0.49883813,0.44847953,0.6545286,0.61741257,0.67903364,0.42121717,0.80838364,0.6058407,0.8782674,0.3681339,neutral
0.11851923,0.53334147,0.21937531,0.5955465,0.23408511,0.38226822,0.3720397,0.619056,0.3726949,0.35531816,0.38558444,0.62584174,0.45098522,0.43035814,0.48552197,0.55995494,0.49264285,0.44610533,0.6552907,0.62678385,0.67702687,0.41513956,0.8079941,0.61093915,0.88101274,0.3739558,neutral
0.11684974,0.5375583,0.21898432,0.6161115,0.23888424,0.40067545,0.36350206,0.6418644,0.36741176,0.3750289,0.42529064,0.5883297,0.44445294,0.46365497,0.48705783,0.57975376,0.49376443,0.46307045,0.65780365,0.63758826,0.6751598,0.43182623,0.8031002,0.632623,0.88104844,0.3980822,neutral
0.14672506,0.54422134,0.22694202,0.6121766,0.24268232,0.40429077,0.3650894,0.6411302,0.37283522,0.3758381,0.4249402,0.5966974,0.4448065,0.463565,0.49422503,0.57629836,0.49578124,0.45912772,0.662134,0.6322071,0.6823808,0.4329252,0.8014222,0.636731,0.8683627,0.4163117,neutral
0.123316504,0.5394849,0.21542582,0.61420214,0.23124847,0.39420348,0.35214746,0.6503109,0.36237764,0.36574405,0.41713062,0.6010369,0.44128123,0.45412827,0.4909389,0.57539314,0.4957801,0.4577548,0.67374635,0.6358013,0.68285704,0.4332993,0.82033885,0.64620084,0.8660886,0.42264912,neutral
0.14462738,0.54147017,0.23447205,0.6103864,0.2503201,0.39573574,0.36729723,0.65775746,0.38610917,0.36600485,0.4371361,0.58584195,0.44705093,0.45185146,0.5109348,0.57881266,0.51217157,0.45864734,0.70246047,0.63076484,0.7053744,0.4275393,0.84916484,0.6543861,0.86664003,0.44079015,neutral
0.15324908,0.5438992,0.23934513,0.61429954,0.25142944,0.3867218,0.38419223,0.6563628,0.40190148,0.35948616,0.40857852,0.6193481,0.45292577,0.4399915,0.52306515,0.57720214,0.52826995,0.4567673,0.71964985,0.6314007,0.73074514,0.42108458,0.8706439,0.65258086,0.8716687,0.44492143,neutral
0.15816858,0.5506434,0.24266842,0.617032,0.25798708,0.381462,0.39088228,0.6726617,0.41762444,0.35612103,0.40460715,0.64149237,0.4663535,0.4438097,0.53248674,0.5832545,0.5437372,0.45716184,0.73818696,0.642843,0.75038517,0.42367256,0.8942303,0.6539199,0.8984154,0.45050445,neutral
0.15865022,0.537484,0.24230255,0.61202663,0.25849107,0.38031495,0.38789624,0.67465466,0.4150335,0.35401097,0.3902395,0.6509907,0.46693143,0.44159466,0.53217995,0.5832324,0.5460014,0.45639214,0.7438079,0.64692175,0.756624,0.41613644,0.88641185,0.6453021,0.9001094,0.44911817,neutral
0.1510861,0.51530254,0.24124652,0.62050045,0.26441562,0.3706825,0.37960654,0.67413586,0.41905767,0.34669763,0.37995076,0.6520811,0.4694228,0.42453715,0.5294304,0.588105,0.5424559,0.4553383,0.7345887,0.6447859,0.75762224,0.41244215,0.8690575,0.64278376,0.893407,0.4405072,neutral
0.13687529,0.52245057,0.23255098,0.61730653,0.26318726,0.367137,0.3717115,0.6755724,0.4176272,0.34377474,0.36316246,0.6515757,0.47658738,0.42056313,0.51808816,0.59518325,0.533553,0.4598168,0.71917695,0.6661211,0.7512935,0.39919794,0.853183,0.65316576,0.88594806,0.435013,neutral
0.14828089,0.52392745,0.22387002,0.61518013,0.2750803,0.36676958,0.3545835,0.6628228,0.428521,0.3446351,0.37575558,0.65070575,0.48335585,0.41778085,0.506199,0.594264,0.5266095,0.4630272,0.70519954,0.67873746,0.74698097,0.39729014,0.8459951,0.6577423,0.8846785,0.43424496,neutral
0.13778207,0.5234341,0.21192923,0.6205112,0.26571086,0.36854118,0.35611907,0.6722679,0.42315584,0.34217557,0.3653016,0.6530288,0.4803926,0.41543195,0.502492,0.5999604,0.5218529,0.46872076,0.6926819,0.6899049,0.7384322,0.39293045,0.8438991,0.6837328,0.8849542,0.42345613,neutral
0.1240457,0.5130131,0.1973952,0.6150105,0.25780126,0.36660096,0.33824754,0.6617783,0.41574225,0.3438717,0.37438905,0.65717983,0.46764657,0.3989021,0.49947685,0.6065055,0.52120334,0.46933168,0.6843151,0.69585276,0.7335016,0.39119318,0.83955514,0.70470244,0.8840937,0.41311985,neutral
0.103588365,0.5117484,0.19311841,0.6001268,0.25689337,0.3704069,0.34609714,0.6476798,0.41816628,0.3314311,0.3876441,0.62092143,0.4606546,0.3872199,0.50942457,0.609742,0.5238303,0.47492504,0.6873427,0.6916877,0.72448546,0.39359248,0.8319489,0.72037226,0.8949506,0.3944841,neutral
0.13267109,0.53641474,0.2206483,0.5940916,0.2582634,0.38008922,0.3717386,0.6473516,0.42048344,0.3403841,0.4105683,0.6068348,0.45088398,0.3768705,0.52204627,0.6049893,0.53082,0.46989858,0.6938238,0.6822451,0.72425944,0.39204624,0.84499776,0.73785067,0.88762504,0.38088346,neutral
0.22720613,0.48938814,0.23238245,0.5866297,0.25329518,0.37249568,0.36569902,0.6322557,0.4139408,0.31669527,0.37580833,0.5655926,0.41923532,0.3401582,0.5051788,0.58823967,0.5223269,0.45257047,0.6947136,0.6793233,0.7146754,0.3803387,0.85927176,0.7355767,0.87599015,0.34814402,neutral
